DSL,API,Attempts
"constructor [public] should declaredIn class [(packagename ""packageIdentifier"")]","constructors().that().arePublic().should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"")",0
"constructor [private] should declaredIn class (implement ""typeName"");","constructors().that().arePrivate().should().beDeclaredInClassesThat().areDeclaredInClassesThat().implement(""typeName"")",0
"constructor [protected] should declaredIn class [(packagename ""packageIdentifier"")]","constructors().that().areProtected().should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"")",0
"constructor [private] should declaredIn class [(packagename ""packageIdentifier"")]","constructors().that().arePrivate().should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"")",0
"constructor [packagePrivate] should declaredIn class [(packagename ""packageIdentifier"")]","constructors().that().arePackagePrivate().should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"")",0
"constructor [public (haveNameMatching ""get"")] should declaredIn class [(packagename ""packageIdentifier"")]","constructors().that().arePublic().and().haveNameMatching(""get"").should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"")",0
"constructor [private] should not declaredIn class [(packagename ""packageIdentifier"")]","constructors().that().arePrivate().should().notBeDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"")",0
"constructor [public (packagename ""packageIdentifier1"")] should declaredIn class [(packagename ""packageIdentifier2"")]","constructors().that().arePublic().and().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier1"").should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier2"")",0
"constructor [(haveNameMatching ""regex"")] should declaredIn class (implement ""typeName"")","constructors().that().haveNameMatching(""regex"").should().beDeclaredInClassesThat().areDeclaredInClassesThat().implement(""typeName"")",0
"constructor [(haveNameMatching ""regex"")] should declaredIn class [(packagename ""packageIdentifier1"")]","constructors().that().haveNameMatching(""regex"").should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier1"")",0
constructor [public] should declaredIn class [public];,constructors().that().arePublic().should().beDeclaredInClassesThat().arePublic(),0
constructor [private] should declaredIn class [static];,constructors().that().arePrivate().should().beDeclaredInClassesThat().areStatic(),0
constructor [protected] should declaredIn class [protected],constructors().that().areProtected().should().beDeclaredInClassesThat().areProtected(),0
constructor [private] should not declaredIn class [packagePrivate],constructors().that().arePrivate().should().notBeDeclaredInClassesThat().arePackagePrivate(),0
constructor [packagePrivate] should declaredIn class [final],constructors().that().arePackagePrivate().should().beDeclaredInClassesThat().areFinal(),0
"constructor [public (haveNameMatching ""get"")] should declaredIn class [private]","constructors().that().arePublic().and().haveNameMatching(""get"").should().beDeclaredInClassesThat().arePrivate()",0
"constructor [private] should not declaredIn class [(packagename ""packageIdentifier"")]","constructors().that().arePrivate().should().notBeDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"")",0
"constructor [public (packagename ""packageIdentifier1"")] should declaredIn class [public (packagename ""packageIdentifier2"")]","constructors().that().arePublic().and().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier1"").should().beDeclaredInClassesThat().arePublic().andShould().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier2"")",0
"constructor[(haveNameMatching ""regex"")] should declaredIn class[public (implement ""typeName"")]","constructors().that().haveNameMatching(""regex"").should().beDeclaredInClassesThat().arePublic().andShould().beDeclaredInClassesThat().areDeclaredInClassesThat().implement(""typeName"")",0
"constructor[ (haveNameMatching ""regex"")] should declaredIn class [static (packagename ""packageIdentifier"")]","constructors().that().haveNameMatching(""regex"").should().beDeclaredInClassesThat().areStatic().andShould().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"")",0
"constructor [private] should beAnnotatedWith ""annotatedTypeName""","constructors().that().arePrivate().should().beAnnotatedWith(""annotatedTypeName"")",0
"constructor [protected] should haveFullNameMatching ""regex"" ;","constructors().that().areProtected().should().haveFullNameMatching(""regex"")",0
Trains Failed,Trains Failed,Trains Failed
"constructor[packagePrivate] should haveNameMatching ""regex""","constructors().that().arePackagePrivate().should().haveNameMatching(""regex"")",0
"constructor [public] should haveNameEndingWith ""regex"" ;","constructors().that().arePublic().should().haveNameEndingWith(""regex"")",0
"constructor [private] should not declaredIn class [(packagename ""packageIdentifier"")]","constructors().that().arePrivate().should().notBeDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"")",0
"constructor [public] should haveNameStartingWith ""regex"" ;","constructors().that().arePublic().should().haveNameStartingWith(""regex"")",0
"constructor [private] should haveNameStartingWith ""regex"";","constructors().that().arePrivate().should().haveNameStartingWith(""regex"")",1
"constructor[public] should haveNameStartingWith ""regex"" ;","constructors().that().arePublic().should().haveNameStartingWith(""regex"")",0
"constructor [private] should declareThrowableOfType ""typeName""","constructors().that().arePrivate().should().declareThrowableOfType(""typeName"")",0
"constructor [static (packagename ""packageIdentifier"")] should BePublic;","constructors().that().haveModifier(JavaModifier.STATIC).and().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"").should().bePublic()",0
"constructor [final (packagename ""packageIdentifier"")] should BePrivate;","constructors().that().haveModifier(JavaModifier.FINAL).and().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"").should().bePrivate()",0
"member[private (packagename ""packageIdentifier"")] should BeProtected;","members().that().arePrivate().and().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"").should().beProtected()",0
"constructor[public(packagename ""packageIdentifier"")] should BePackagePrivate;","constructors().that().arePublic().and().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"").should().bePackagePrivate()",0
"constructor [(haveNameMatching ""regex"")] should BePublic;","constructors().that().haveNameMatching(""regex"").should().bePublic()",0
